Indicador,Producto bruto interno
Área,Actividad económica
Frecuencia,Q-DEC
Moneda,UYU
Inf. adj.,Const. 2016
Unidad,Millones
Seas. Adj.,SA
Tipo,Flujo
Acum. períodos,1
1988-03-31,44.56603090721227
1988-06-30,44.974212705696324
1988-09-30,44.083634236276595
1988-12-31,44.2691714174057
1989-03-31,44.86289039701886
1989-06-30,45.67925399398694
1989-09-30,44.454708598534815
1989-12-31,44.64024577966393
1990-03-31,44.75156808834139
1990-06-30,43.89809705514749
1990-09-30,45.19685732305126
1990-12-31,46.01322092001935
1991-03-31,45.753468866438595
1991-06-30,46.16165066492264
1991-09-30,46.6069398996325
1991-12-31,47.72016298640717
1992-03-31,49.575534797698275
1992-06-30,50.243468649763074
1992-09-30,50.837187629376224
1992-12-31,50.614543012021294
1993-03-31,51.24536942786026
1993-06-30,50.54032813956964
1993-09-30,52.43280738708657
1993-12-31,52.43280738708657
1994-03-31,53.212063547828826
1994-06-30,55.92090639231383
1994-09-30,56.44041049947534
1994-12-31,55.92090639231383
1995-03-31,55.03032792289411
1995-06-30,55.920906392313825
1995-09-30,52.989418930473896
1995-12-31,54.51082381573259
1996-03-31,56.440410499475334
1996-06-30,56.2177658821204
1996-09-30,58.85239385415377
1996-12-31,59.00082359905706
1997-03-31,58.62974923679884
1997-06-30,64.26731599373014
1997-09-30,63.181148891948034
1997-12-31,63.662853786347455
1998-03-31,64.13226887550094
1998-06-30,64.47059509997419
1998-09-30,66.32839292299347
1998-12-31,66.06128959382961
1999-03-31,64.08950880227964
1999-06-30,64.46927511717989
1999-09-30,63.65398108807344
1999-12-31,63.7891002063249
2000-03-31,64.5770987223449
2000-06-30,62.62724001511758
2000-09-30,62.53045178296839
2000-12-31,61.39341435734873
2001-03-31,62.35487343723703
2001-06-30,60.363708929848634
2001-09-30,59.782915824054065
2001-12-31,58.95727584340373
2002-03-31,57.19373712988824
2002-06-30,57.77192950391874
2002-09-30,54.35494356247891
2002-12-31,53.53984485633245
2003-03-31,53.2726286497489
2003-06-30,56.04640428229194
2003-09-30,56.902798083835634
2003-12-31,58.07821557822429
2004-03-31,58.895270868000146
2004-06-30,57.97752510929755
2004-09-30,58.75363870298826
2004-12-31,59.9923572799138
2005-03-31,61.09363914302639
2005-06-30,63.04524504511274
2005-09-30,63.87001754344054
2005-12-31,65.13706880630214
2006-03-31,65.79765903277571
2006-06-30,65.41506813778352
2006-09-30,65.84636419090764
2006-12-31,66.55671591763829
2007-03-31,68.88361131771886
2007-06-30,69.55075959195534
2007-09-30,70.5957356337611
2007-12-31,71.76984694106623
2008-03-31,72.80642624370415
2008-06-30,74.73747457904756
2008-09-30,76.29577600993899
2008-12-31,77.14588902469966
2009-03-31,75.80065576063022
2009-06-30,76.81736970577292
2009-09-30,79.41943569675756
2009-12-31,81.66069259459549
2010-03-31,83.17650627664335
2010-06-30,84.76625193930172
2010-09-30,84.58137176936766
2010-12-31,85.88618577827131
2011-03-31,87.82906148409371
2011-06-30,88.58980551757074
2011-09-30,90.79849409804226
2011-12-31,88.77625965271308
2012-03-31,90.61710545154375
2012-06-30,91.10473376968427
2012-09-30,93.3352324680754
2012-12-31,93.44548516091409
2013-03-31,94.03797597660576
2013-06-30,96.55274608582776
2013-09-30,96.39365390524974
2013-12-31,98.56981748145301
2014-03-31,96.88031061842155
2014-06-30,100.29369448071067
2014-09-30,100.18533454068896
2014-12-31,100.7421287147033
2015-03-31,100.51209957299265
2015-06-30,99.5003830738989
2015-09-30,100.1190969284258
2015-12-31,99.53836413098239
2016-03-31,100.241599041639
2016-06-30,100.122193373047
2016-09-30,99.8672360739863
2016-12-31,101.106663363268
2017-03-31,102.926717057041
2017-06-30,102.140739213305
2017-09-30,101.486586838525
2017-12-31,100.643194249612
2018-03-31,102.80719832606
2018-06-30,101.32002112628
2018-09-30,101.940009939088
2018-12-31,102.351837682344
2019-03-31,102.41046776649817
2019-06-30,102.86077894587142
2019-09-30,102.88319467492795
2019-12-31,101.71154784715105
2020-03-31,100.54473472790477
2020-06-30,89.61456559874915
2020-09-30,96.81816351948534
2020-12-31,98.59855122021624
2021-03-31,98.05824052552127
